Unnamed: 0,ID,Name,Gene Name,GenBank Protein ID,GenBank Gene ID,UniProt ID,Uniprot Title,PDB ID,GeneCard ID,GenAtlas ID,HGNC ID,Species,Drug IDs
442,484,"ATP synthase subunit delta, mitochondrial",ATP5D,12586.0,X63422,P30049,ATPD_HUMAN,,,ATP5D,HGNC:837,Humans,DB00753; DB01189
443,485,"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial",NDUFV1,3184148.0,Y17379,P49821,NDUV1_HUMAN,,,NDUFV1,HGNC:7716,Humans,DB00157
444,486,Sodium-dependent noradrenaline transporter,SLC6A2,189258.0,M65105,P23975,SC6A2_HUMAN,,,SLC6A2,HGNC:11048,Humans,DB00182; DB00191; DB00193; DB00226; DB00234; DB00245; DB00285; DB00289; DB00321; DB00344; DB00408; DB00422; DB00454; DB00458; DB00476; DB00514; DB00540; DB00543; DB00579; DB00715; DB00726; DB00830; DB00852; DB00907; DB00924; DB00934; DB00937; DB00988; DB01104; DB01105; DB01114; DB01142; DB01149; DB01151; DB01156; DB01170; DB01173; DB01175; DB01221; DB01242; DB01364; DB01442; DB01454; DB01576; DB01577; DB01579; DB04821; DB04836; DB04840; DB04889; DB04896; DB05012; DB05642; DB05688; DB05964; DB06148; DB06156; DB06204; DB06333; DB06700; DB06701; DB08918; DB09068; DB09167; DB09185; DB09225; DB12305; DB13931; DB14754; DB16629
445,487,"cAMP-specific 3',5'-cyclic phosphodiesterase 4B",PDE4B,347122.0,L20966,Q07343,PDE4B_HUMAN,1F0J; 1JP1; 1JP2; 1RO6; 1RO9; 1ROR; 1TB5; 1XLX; 1XLZ; 1XM4; 1XM6; 1XMU; 1XMY; 1XN0; 1XOS; 1XOT; 1Y2H; 1Y2J; 2CHM; 2QYL; 3D3P; 3FRG; 3G45; 3GWT; 3HC8; 3HDZ; 3HMV; 3KKT; 3LY2; 3O0J; 3O56; 3O57; 3W5E; 3WD9; 4KP6; 4MYQ; 4NW7; 4WZI; 4X0F,,PDE4B,HGNC:8781,Humans,DB00131; DB00201; DB00277; DB00651; DB00824; DB01088; DB01113; DB01412; DB01647; DB01791; DB01954; DB01959; DB02660; DB03349; DB03606; DB03807; DB03849; DB04149; DB04530; DB05219; DB05266; DB06909; DB08299
447,489,Potassium voltage-gated channel subfamily E member 1,KCNE1,386838.0,M26685,P15382,KCNE1_HUMAN,2K21,,KCNE1,HGNC:6240,Humans,DB04957
448,491,"Isoleucine--tRNA ligase, cytoplasmic",IARS,551622.0,D28473,P41252,SYIC_HUMAN,,,IARS,HGNC:5330,Humans,DB00167
449,492,"Propionyl-CoA carboxylase alpha chain, mitochondrial",PCCA,296366.0,X14608,P05165,PCCA_HUMAN,2CQY; 2JKU,,PCCA,HGNC:8653,Humans,DB00121
450,493,"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial",NDUFS1,38079.0,X61100,P28331,NDUS1_HUMAN,,,NDUFS1,HGNC:7707,Humans,DB00157
451,494,Choline-phosphate cytidylyltransferase B,PCYT1B,3153239.0,AF052510,Q9Y5K3,PCY1B_HUMAN,,,PCYT1B,HGNC:8755,Humans,DB00122; DB14006
452,495,Amiloride-sensitive sodium channel subunit delta,SCNN1D,1066457.0,U38254,P51172,SCNND_HUMAN,,,SCNN1D,HGNC:10601,Humans,DB00384; DB00594
453,496,Carnitine O-acetyltransferase,CRAT,927415.0,X78706,P43155,CACP_HUMAN,1NM8; 1S5O,,CRAT,HGNC:2342,Humans,DB00583; DB01992; DB02648
454,497,Amiloride-sensitive sodium channel subunit gamma,SCNN1G,1004273.0,X87160,P51170,SCNNG_HUMAN,,,SCNN1G,HGNC:10602,Humans,DB00384; DB00594
456,499,Low-density lipoprotein receptor,LDLR,307121.0,L00352,P01130,LDLR_HUMAN,1AJJ; 1D2J; 1F5Y; 1F8Z; 1HJ7; 1HZ8; 1I0U; 1IJQ; 1LDL; 1LDR; 1LRX; 1N7D; 1XFE; 2FCW; 2KRI; 2LGP; 2M7P; 2MG9; 2W2M; 2W2N; 2W2O; 2W2P; 2W2Q; 3BPS; 3GCW; 3GCX; 3M0C; 3P5B; 3P5C; 3SO6; 4NE9,,LDLR,HGNC:6547,Humans,DB00707
457,500,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial",NDUFS4,2655053.0,AF020351,O43181,NDUS4_HUMAN,,,NDUFS4,HGNC:7711,Humans,DB00157
458,501,Alpha-1A adrenergic receptor,ADRA1A,433201.0,D25235,P35348,ADA1A_HUMAN,,,ADRA1A,HGNC:277,Humans,DB00211; DB00246; DB00248; DB00298; DB00321; DB00334; DB00346; DB00363; DB00368; DB00388; DB00408; DB00420; DB00449; DB00450; DB00457; DB00458; DB00477; DB00502; DB00540; DB00543; DB00555; DB00575; DB00590; DB00610; DB00622; DB00656; DB00661; DB00668; DB00679; DB00696; DB00699; DB00706; DB00723; DB00726; DB00734; DB00751; DB00777; DB00797; DB00800; DB00831; DB00852; DB00865; DB00875; DB00908; DB00925; DB00935; DB00964; DB01136; DB01142; DB01149; DB01162; DB01186; DB01200; DB01238; DB01253; DB01267; DB01295; DB01364; DB01403; DB01472; DB01579; DB01614; DB01622; DB01624; DB04855; DB04946; DB04948; DB05469; DB05492; DB06016; DB06144; DB06153; DB06207; DB06216; DB06229; DB06262; DB06694; DB06706; DB06711; DB08950; DB09128; DB09202; DB09239; DB11124; DB12278; DB14185
459,502,Solute carrier family 12 member 1,SLC12A1,1373425.0,U58130,Q13621,S12A1_HUMAN,,,SLC12A1,HGNC:10910,Humans,DB00214; DB00232; DB00310; DB00534; DB00695; DB00761; DB00774; DB00887; DB00903; DB01325; DB02925
460,503,NADH-ubiquinone oxidoreductase chain 1,MT-ND1,13004.0,V00662,P03886,NU1M_HUMAN,,,MT-ND1,HGNC:7455,Humans,DB00157; DB01028; DB01159; DB01189; DB01236; DB04464; DB12695
461,507,Thyroid peroxidase,TPO,339867.0,J02969,P07202,PERT_HUMAN,,,TPO,HGNC:12015,Humans,DB00389; DB00509; DB00550; DB00763; DB08604; DB11085; DB11496
462,508,Cellular retinoic acid-binding protein 1,CRABP1,241542.0,S74445,P29762,RABP1_HUMAN,,,CRABP1,HGNC:2338,Humans,DB00755
463,509,Extracellular calcium-sensing receptor,CASR,599820.0,X81086,P41180,CASR_HUMAN,,,CASR,HGNC:1514,Humans,DB00127; DB00994; DB01012; DB05255; DB05695; DB11093; DB11348; DB12865; DB14481
464,510,Serotransferrin,TF,339453.0,M12530,P02787,TRFE_HUMAN,1A8E; 1A8F; 1B3E; 1BP5; 1BTJ; 1D3K; 1D4N; 1DTG; 1FQE; 1FQF; 1JQF; 1N7W; 1N7X; 1N84; 1OQG; 1OQH; 1RYO; 1SUV; 2HAU; 2HAV; 2O7U; 2O84; 3FGS; 3QYT; 3S9L; 3S9M; 3S9N; 3SKP; 3V83; 3V89; 3V8X; 3VE1; 4H0W; 4X1B; 4X1D,,TF,HGNC:11740,Humans,DB00515; DB00677; DB01370; DB01592; DB01593; DB06757; DB09130; DB11397; DB14487; DB14488; DB14489; DB14490; DB14491; DB14501; DB14517; DB14518; DB14533; DB14548
465,511,Receptor tyrosine-protein kinase erbB-2,ERBB2,553282.0,M11767,P04626,ERBB2_HUMAN,1MFG; 1MFL; 1MW4; 1N8Z; 1OVC; 1QR1; 1S78; 2A91; 2JWA; 2KS1; 2L4K; 3BE1; 3H3B; 3MZW; 3N85; 3PP0; 3RCD; 3WLW; 3WSQ; 4GFU; 4HRL; 4HRM; 4HRN,,ERBB2,HGNC:3430,Humans,DB01259; DB05944; DB06021; DB08916; DB11652; DB11973; DB12010; DB12267; DB15035
466,512,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7,NDUFB7,180233.0,M33374,P17568,NDUB7_HUMAN,,,NDUFB7,HGNC:7702,Humans,DB00157
467,513,Retinal dehydrogenase 2,ALDH1A2,3970842.0,AB015226,O94788,AL1A2_HUMAN,,,ALDH1A2,HGNC:15472,Humans,DB00157; DB00162; DB00755
469,515,Melatonin receptor type 1A,MTNR1A,602130.0,U14108,P48039,MTR1A_HUMAN,,,MTNR1A,HGNC:7463,Humans,DB00980; DB01065; DB02709; DB06594; DB09071
470,516,Integrin alpha-L,ITGAL,31422.0,Y00796,P20701,ITAL_HUMAN,1CQP; 1DGQ; 1IJ4; 1LFA; 1MJN; 1MQ8; 1MQ9; 1MQA; 1RD4; 1T0P; 1XDD; 1XDG; 1XUO; 1ZON; 1ZOO; 1ZOP; 2ICA; 2K8O; 2M3E; 2O7N; 3BN3; 3BQM; 3BQN; 3E2M; 3EOA; 3EOB; 3F74; 3F78; 3HI6; 3M6F; 3TCX; 4IXD,,ITGAL,HGNC:6148,Humans,DB00227; DB00641; DB01098; DB02177; DB03932; DB04724; DB06972; DB07486; DB08860; DB11611
471,517,"Branched-chain-amino-acid aminotransferase, cytosolic",BCAT1,1036780.0,U21551,P54687,BCAT1_HUMAN,2ABJ; 2COG; 2COI; 2COJ,,BCAT1,HGNC:976,Humans,DB00114; DB00142; DB00149; DB00161; DB00167; DB07544
472,518,"2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial",GCAT,3342906.0,AF077740,O75600,KBL_HUMAN,,,GCAT,HGNC:4188,Humans,DB00114; DB00145
473,519,Choline O-acetyltransferase,CHAT,301096.0,S56138,P28329,CLAT_HUMAN,2FY2; 2FY3; 2FY4; 2FY5,,CHAT,HGNC:1912,Humans,DB00184
474,520,Argininosuccinate lyase,ASL,28878.0,Y00753,P04424,ARLY_HUMAN,1AOS; 1K62,,ASL,HGNC:746,Humans,DB00125; DB02267; DB03814
475,521,Endothelin-1 receptor,EDNRA,238636.0,S63938,P25101,EDNRA_HUMAN,,,EDNRA,HGNC:3179,Humans,DB00559; DB00945; DB04674; DB04883; DB05290; DB05367; DB06199; DB06268; DB06403; DB06460; DB06558; DB06677; DB08932; DB12548
476,522,Alcohol dehydrogenase class 4 mu/sigma chain,ADH7,516618.0,L33179,P40394,ADH7_HUMAN,1AGN; 1D1S; 1D1T,,ADH7,HGNC:256,Humans,DB00157; DB00898
477,523,Gamma-aminobutyric acid receptor subunit alpha-3,GABRA3,386424.0,S62908,P34903,GBRA3_HUMAN,,,GABRA3,HGNC:4077,Humans,DB00241; DB00306; DB00312; DB00371; DB00395; DB00402; DB00418; DB00425; DB00463; DB00599; DB00794; DB00849; DB00898; DB01198; DB01351; DB01352; DB01353; DB01354; DB01355; DB01483; DB01496; DB01567; DB04903; DB13994
478,525,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13,NDUFA13,11055599.0,AF286697,Q9P0J0,NDUAD_HUMAN,,,NDUFA13,HGNC:17194,Humans,DB00157
479,526,Nicotinate-nucleotide pyrophosphorylase [carboxylating],QPRT,1060907.0,D78177,Q15274,NADC_HUMAN,2JBM; 3LAR; 4KWV; 4KWW; 4R3X; 4R3Y,,QPRT,HGNC:9755,Humans,DB00627
480,528,Aspartyl/asparaginyl beta-hydroxylase,ASPH,458032.0,U03109,Q12797,ASPH_HUMAN,5APA,,ASPH,HGNC:757,Humans,DB00128
481,529,"Aspartate aminotransferase, cytoplasmic",GOT1,179067.0,M37400,P17174,AATC_HUMAN,3II0; 3WZF,,GOT1,HGNC:4432,Humans,DB00114; DB00128; DB00142; DB00151; DB00210; DB04299; DB09130
482,530,Serum albumin,ALB,28590.0,V00494,P02768,ALBU_HUMAN,1AO6; 1BJ5; 1BKE; 1BM0; 1E78; 1E7A; 1E7B; 1E7C; 1E7E; 1E7F; 1E7G; 1E7H; 1E7I; 1GNI; 1GNJ; 1H9Z; 1HA2; 1HK1; 1HK2; 1HK3; 1HK4; 1HK5; 1N5U; 1O9X; 1TF0; 1UOR; 1YSX; 2BX8; 2BXA; 2BXB; 2BXC; 2BXD; 2BXE; 2BXF; 2BXG; 2BXH; 2BXI; 2BXK; 2BXL; 2BXM; 2BXN; 2BXO; 2BXP; 2BXQ; 2ESG; 2I2Z; 2I30; 2N0X; 2VDB; 2VUE; 2VUF; 2XSI; 2XVQ; 2XVU; 2XVV; 2XVW; 2XW0; 2XW1; 2YDF; 3A73; 3B9L; 3B9M; 3CX9; 3JQZ; 3JRY; 3LU6; 3LU7; 3LU8; 3SQJ; 3TDL; 3UIV; 4BKE; 4E99; 4EMX; 4G03; 4G04; 4HGK; 4HGM; 4IW1; 4IW2; 4K2C; 4K71; 4L8U; 4L9K; 4L9Q; 4LA0; 4LB2; 4LB9; 4N0F; 4N0U; 4S1Y,,ALB,HGNC:399,Humans,DB00276; DB00493; DB03255; DB06713; DB06728; DB11359; DB11638; DB12965; DB13967
483,533,5-hydroxytryptamine receptor 2C,HTR2C,338028.0,M81778,P28335,5HT2C_HUMAN,,,HTR2C,HGNC:5295,Humans,DB00193; DB00246; DB00247; DB00248; DB00320; DB00321; DB00334; DB00363; DB00370; DB00408; DB00420; DB00434; DB00458; DB00472; DB00477; DB00502; DB00540; DB00543; DB00574; DB00589; DB00623; DB00656; DB00696; DB00714; DB00726; DB00734; DB00777; DB00805; DB00875; DB00924; DB00934; DB01079; DB01142; DB01149; DB01151; DB01175; DB01186; DB01191; DB01200; DB01224; DB01238; DB01242; DB01267; DB01392; DB01403; DB01454; DB01537; DB04871; DB04884; DB04948; DB05316; DB05492; DB06016; DB06144; DB06148; DB06153; DB06216; DB06229; DB06446; DB06512; DB06594; DB09014; DB09185; DB09194; DB09195; DB12110; DB12163; DB12177; DB13940; DB14185
484,534,"Glutamate receptor ionotropic, NMDA 3B",GRIN3B,3025446.0,AC004528,O60391,NMD3B_HUMAN,,,GRIN3B,HGNC:16768,Humans,DB00145; DB01159; DB01173; DB01520
485,535,Carbonic anhydrase 4,CA4,179791.0,M83670,P22748,CAH4_HUMAN,1ZNC; 3F7B; 3F7U; 3FW3,,CA4,HGNC:1375,Humans,DB00232; DB00273; DB00311; DB00436; DB00562; DB00703; DB00774; DB00819; DB00869; DB00909; DB01021; DB01144; DB01194; DB08846; DB09460
486,536,Proton-coupled amino acid transporter 1,SLC36A1,31324239.0,AF516142,Q7Z2H8,S36A1_HUMAN,,,SLC36A1,HGNC:18761,Humans,DB00160
487,537,Thyroxine-binding globulin,SERPINA7,338697.0,M14091,P05543,THBG_HUMAN,2CEO; 2RIV; 2RIW; 2XN3; 2XN5; 2XN6; 2XN7,,SERPINA7,HGNC:11583,Humans,DB09130
488,538,Fibrinogen alpha chain,FGA,13591824.0,AF361104,P02671,FIBA_HUMAN,1BBR; 1DM4; 1FPH; 1FZA; 1FZB; 1FZC; 1FZD; 1FZE; 1FZF; 1FZG; 1LT9; 1LTJ; 1N86; 1N8E; 1RE3; 1RE4; 1RF0; 1RF1; 1YCP; 2A45; 2FFD; 2H43; 2HLO; 2HOD; 2HPC; 2OYH; 2OYI; 2Q9I; 2XNX; 2XNY; 2Z4E; 3AT0; 3BVH; 3E1I; 3GHG; 3H32; 3HUS; 4F27; 5CFA,,FGA,HGNC:3661,Humans,DB01593; DB14487; DB14533; DB14548
489,539,3-oxo-5-alpha-steroid 4-dehydrogenase 1,SRD5A1,177767.0,M32313,P18405,S5A1_HUMAN,,,SRD5A1,HGNC:11284,Humans,DB00367; DB01126; DB01216; DB09389
490,540,Dihydropteridine reductase,QDPR,30819.0,X04882,P09417,DHPR_HUMAN,1HDR,,QDPR,HGNC:9752,Humans,DB00157; DB03814
491,541,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11,NDUFA11,28170654.0,AJ539081,Q86Y39,NDUAB_HUMAN,,,NDUFA11,HGNC:20371,Humans,DB00157
492,542,Glyceraldehyde-3-phosphate dehydrogenase,GAPDH,31645.0,X01677,P04406,G3P_HUMAN,1U8F; 1ZNQ; 2FEH; 3GPD; 4WNC; 4WNI,,GAPDH,HGNC:4141,Humans,DB00157; DB02059; DB03893; DB07347; DB09092; DB09130; DB11638
493,544,"Propionyl-CoA carboxylase beta chain, mitochondrial",PCCB,312812.0,X73424,P05166,PCCB_HUMAN,,,PCCB,HGNC:8654,Humans,DB00121; DB00161
494,545,"Acyl carrier protein, mitochondrial",NDUFAB1,4567042.0,AF087660,O14561,ACPM_HUMAN,2DNW,,NDUFAB1,HGNC:7694,Humans,DB00157
495,546,DNA polymerase alpha catalytic subunit,POLA1,35568.0,X06745,P09884,DPOLA_HUMAN,1K0P; 1K18; 1N5G; 4Q5V; 4QCL; 4Y97,,POLA1,HGNC:9173,Humans,DB00242; DB00631; DB01073; DB01280
497,550,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2,NDUFA2,2909862.0,AF047185,O43678,NDUA2_HUMAN,1S3A,,NDUFA2,HGNC:7685,Humans,DB00157
498,551,NADH-ubiquinone oxidoreductase chain 4,MT-ND4,,J01415,P03905,NU4M_HUMAN,,,MT-ND4,HGNC:7459,Humans,DB00157
499,552,15-hydroxyprostaglandin dehydrogenase [NAD(+)],HPGD,1203984.0,L76465,P15428,PGDH_HUMAN,2GDZ,,HPGD,HGNC:5154,Humans,DB00157
500,553,Calcium-activated potassium channel subunit alpha-1,KCNMA1,537439.0,U13913,Q12791,KCMA1_HUMAN,2K44; 3MT5; 3NAF,,KCNMA1,HGNC:6284,Humans,DB00356; DB00436; DB00774; DB00999; DB01159; DB04209
501,554,Retinal dehydrogenase 1,ALDH1A1,178372.0,M31994,P00352,AL1A1_HUMAN,4WB9; 4WJ9; 4WP7; 4WPN; 4X4L; 5AC2,,ALDH1A1,HGNC:402,Humans,DB00157; DB00162; DB00755; DB04447
503,556,Atrial natriuretic peptide receptor 1,NPR1,28230.0,X15357,P16066,ANPRA_HUMAN,,,NPR1,HGNC:7943,Humans,DB00325; DB00727; DB00883; DB01612; DB01613; DB05034
504,557,Progesterone receptor,PGR,35652.0,X51730,P06401,PRGR_HUMAN,1A28; 1E3K; 1SQN; 1SR7; 1ZUC; 2C7A; 2OVH; 2OVM; 2W8Y; 3D90; 3G8O; 3HQ5; 3KBA; 3ZR7; 3ZRA; 3ZRB; 4A2J; 4APU; 4OAR,,PGR,HGNC:8910,Humans,DB00294; DB00304; DB00351; DB00367; DB00378; DB00396; DB00421; DB00431; DB00588; DB00603; DB00648; DB00717; DB00764; DB00823; DB00834; DB00957; DB01395; DB01406; DB01428; DB01431; DB02746; DB02998; DB04787; DB05253; DB06680; DB06713; DB06730; DB06789; DB08867; DB08906; DB09123; DB09124; DB09389; DB11064; DB11219; DB11619; DB12941; DB13857; DB13867; DB14512; DB14583
506,559,"Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial",IDH3B,2737886.0,U49283,O43837,IDH3B_HUMAN,,,IDH3B,HGNC:5385,Humans,DB00157
507,560,Muscarinic acetylcholine receptor M2,CHRM2,177990.0,M16404,P08172,ACM2_HUMAN,1LUB; 3UON; 4MQS; 4MQT,,CHRM2,HGNC:1951,Humans,DB00202; DB00246; DB00280; DB00332; DB00334; DB00342; DB00363; DB00376; DB00383; DB00387; DB00392; DB00408; DB00411; DB00424; DB00434; DB00458; DB00462; DB00483; DB00496; DB00505; DB00508; DB00517; DB00565; DB00572; DB00622; DB00725; DB00728; DB00747; DB00767; DB00785; DB00804; DB00809; DB00835; DB00907; DB00934; DB00940; DB00986; DB01019; DB01036; DB01062; DB01069; DB01075; DB01085; DB01135; DB01142; DB01148; DB01151; DB01224; DB01226; DB01231; DB01238; DB01239; DB01336; DB01337; DB01338; DB01403; DB01409; DB01591; DB03128; DB04834; DB05752; DB06153; DB06702; DB06709; DB06787; DB08801; DB08897; DB09076; DB09089; DB09167; DB09185; DB09262; DB09300; DB11181; DB11235; DB12278; DB13581; DB14185
508,561,Phenylalanine--tRNA ligase beta subunit,FARSB,7768938.0,D84430,Q9NSD9,SYFB_HUMAN,3L4G,,FARSLB,HGNC:17800,Humans,DB00120
509,562,Cationic amino acid transporter 2,SLC7A2,849051.0,D29990,P52569,CTR2_HUMAN,,,SLC7A2,HGNC:11060,Humans,DB00123; DB00129
511,565,Interleukin-1 receptor type 1,IL1R1,33801.0,X16896,P14778,IL1R1_HUMAN,1G0Y; 1IRA; 1ITB; 4DEP; 4GAF,,IL1R1,HGNC:5993,Humans,DB05207; DB05303
512,566,Spermine oxidase,SMOX,14860862.0,AY033889,Q9NWM0,SMOX_HUMAN,,,SMOX,HGNC:15862,Humans,DB00127; DB04188
513,567,Guanidinoacetate N-methyltransferase,GAMT,1212946.0,Z49878,Q14353,GAMT_HUMAN,3ORH,,GAMT,HGNC:4136,Humans,DB00148; DB00536; DB01752; DB02751; DB13191
514,568,Glutamate carboxypeptidase 2,FOLH1,190664.0,M99487,Q04609,FOLH1_HUMAN,1Z8L; 2C6C; 2C6G; 2C6P; 2CIJ; 2JBJ; 2JBK; 2OOT; 2OR4; 2PVV; 2PVW; 2XEF; 2XEG; 2XEI; 2XEJ; 3BHX; 3BI0; 3BI1; 3BXM; 3D7D; 3D7F; 3D7G; 3D7H; 3IWW; 3RBU; 3SJE; 3SJF; 3SJG; 3SJX; 4JYW; 4JZ0; 4LQG; 4MCP; 4MCQ; 4MCR; 4MCS; 4NGM; 4NGN; 4NGP; 4NGQ; 4NGR; 4NGS; 4NGT; 4OC0; 4OC1; 4OC2; 4OC3; 4OC4; 4OC5; 4OME; 4P44; 4P45; 4P4B; 4P4D; 4P4E; 4P4F; 4P4I; 4P4J; 4W9Y; 4X3R,,FOLH1,HGNC:3788,Humans,DB00142; DB06928; DB07754; DB08835; DB14805; DB17851
515,569,Cysteine dioxygenase type 1,CDO1,467561.0,Z31357,Q16878,CDO1_HUMAN,2IC1,,CDO1,HGNC:1795,Humans,DB00151; DB00157
516,570,11-cis retinol dehydrogenase,RDH5,1616654.0,U43559,Q92781,RDH1_HUMAN,,,RDH5,HGNC:9940,Humans,DB00157; DB00162
517,571,"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial",PDHA1,387009.0,M27257,P08559,ODPA_HUMAN,1NI4; 2OZL; 3EXE; 3EXF; 3EXG; 3EXH; 3EXI,,PDHA1,HGNC:8806,Humans,DB00157
518,572,Alpha-2B adrenergic receptor,ADRA2B,178198.0,M34041,P18089,ADA2B_HUMAN,2CVA,,ADRA2B,HGNC:282,Humans,DB00246; DB00248; DB00292; DB00363; DB00368; DB00408; DB00457; DB00484; DB00502; DB00575; DB00589; DB00629; DB00668; DB00714; DB00726; DB00734; DB00797; DB00800; DB00925; DB00935; DB00964; DB01018; DB01136; DB01200; DB01224; DB01238; DB01267; DB01392; DB01403; DB01577; DB04846; DB04855; DB05271; DB05461; DB05492; DB06148; DB06153; DB06216; DB06229; DB06262; DB06694; DB11124; DB14185
519,573,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",ACADSB,531391.0,U12778,P45954,ACDSB_HUMAN,2JIF,,ACADSB,HGNC:91,Humans,DB00167; DB00313
520,574,3-hydroxy-3-methylglutaryl-coenzyme A reductase,HMGCR,306865.0,M11058,P04035,HMDH_HUMAN,1DQ8; 1DQ9; 1DQA; 1HW8; 1HW9; 1HWI; 1HWJ; 1HWK; 1HWL; 2Q1L; 2Q6B; 2Q6C; 2R4F; 3BGL; 3CCT; 3CCW; 3CCZ; 3CD0; 3CD5; 3CD7; 3CDA; 3CDB,,HMGCR,HGNC:5006,Humans,DB00157; DB00175; DB00227; DB00439; DB00641; DB01076; DB01095; DB01098; DB01992; DB03169; DB03461; DB04377; DB04447; DB05317; DB06693; DB08860; DB09061; DB14011
521,575,Alpha-1B adrenergic receptor,ADRA1B,,M99589,P35368,ADA1B_HUMAN,,,ADRA1B,HGNC:278,Humans,DB00211; DB00246; DB00248; DB00298; DB00321; DB00334; DB00346; DB00363; DB00368; DB00388; DB00408; DB00457; DB00458; DB00477; DB00540; DB00575; DB00590; DB00622; DB00661; DB00668; DB00679; DB00696; DB00706; DB00723; DB00726; DB00734; DB00745; DB00800; DB00908; DB00925; DB00935; DB01136; DB01142; DB01149; DB01162; DB01186; DB01200; DB01238; DB01267; DB01403; DB01576; DB01579; DB01608; DB01614; DB01622; DB04855; DB05469; DB05492; DB06144; DB06153; DB06207; DB06229; DB06262; DB06694; DB09128; DB09185; DB09202; DB11124; DB14185
523,577,Squalene monooxygenase,SQLE,2443316.0,D78130,Q14534,ERG1_HUMAN,,,SQLE,HGNC:11279,Humans,DB00735; DB00857; DB01091; DB08846
524,578,Estradiol 17-beta-dehydrogenase 8,HSD17B8,30583317.0,BT007239,Q92506,DHB8_HUMAN,2PD6; 4CQL; 4CQM,,HSD17B8,HGNC:3554,Humans,DB00157; DB03461
525,579,Mitochondrial carnitine/acylcarnitine carrier protein,SLC25A20,2765075.0,Y10319,O43772,MCAT_HUMAN,,,SLC25A20,HGNC:1421,Humans,DB00583
526,580,NADH-ubiquinone oxidoreductase chain 5,MT-ND5,2052366.0,J01415,P03915,NU5M_HUMAN,,,MT-ND5,HGNC:7461,Humans,DB00157
527,581,D(3) dopamine receptor,DRD3,927342.0,U32499,P35462,DRD3_HUMAN,3PBL,,DRD3,HGNC:3024,Humans,DB00246; DB00248; DB00268; DB00320; DB00334; DB00363; DB00391; DB00408; DB00409; DB00413; DB00477; DB00490; DB00502; DB00543; DB00589; DB00714; DB00875; DB00988; DB01100; DB01184; DB01186; DB01200; DB01224; DB01235; DB01238; DB01239; DB01267; DB01392; DB01403; DB04946; DB05271; DB05766; DB06016; DB06148; DB06216; DB06288; DB06454; DB06477; DB09014; DB09128; DB09207; DB09223; DB09286; DB09289; DB11274; DB12061; DB12478; DB13025; DB14185
528,582,Taste receptor type 1 member 3,TAS1R3,21928569.0,AB065647,Q7RTX0,TS1R3_HUMAN,,,TAS1R3,HGNC:15661,Humans,DB00168
529,583,Aldehyde dehydrogenase family 1 member A3,ALDH1A3,544482.0,U07919,P47895,AL1A3_HUMAN,,,ALDH1A3,HGNC:409,Humans,DB00157; DB00162
531,585,3-oxo-5-alpha-steroid 4-dehydrogenase 2,SRD5A2,338469.0,M74047,P31213,S5A2_HUMAN,,,SRD5A2,HGNC:11285,Humans,DB00548; DB01126; DB01216
532,586,Peroxisomal bifunctional enzyme,EHHADH,452045.0,L07077,Q08426,ECHP_HUMAN,,,EHHADH,HGNC:3247,Humans,DB00157
533,587,Heme oxygenase 2,HMOX2,443771.0,D21243,P30519,HMOX2_HUMAN,2Q32; 2QPP; 2RGZ; 4WMH,,HMOX2,HGNC:5014,Humans,DB00157; DB04912
535,589,"Malate dehydrogenase, cytoplasmic",MDH1,1255604.0,D55654,P40925,MDHC_HUMAN,,,MDH1,HGNC:6970,Humans,DB00157; DB03461; DB11638
536,590,Integrin alpha-4,ITGA4,33946.0,X16983,P13612,ITA4_HUMAN,3V4P; 3V4V; 4HKC,,ITGA4,HGNC:6140,Humans,DB04997; DB05092; DB05122; DB05468; DB06822
538,592,Aldo-keto reductase family 1 member C3,AKR1C3,4261711.0,S68288,P42330,AK1C3_HUMAN,1RY0; 1RY8; 1S1P; 1S1R; 1S2A; 1S2C; 1XF0; 1ZQ5; 2F38; 2FGB; 3R43; 3R58; 3R6I; 3R7M; 3R8G; 3R8H; 3R94; 3UFY; 3UG8; 3UGR; 3UWE; 4DBS; 4DBU; 4DBW; 4DZ5; 4FA3; 4FAL; 4FAM; 4H7C; 4HMN; 4WDT; 4WDU; 4WDW; 4WDX; 4WRH; 4XVD; 4XVE,,AKR1C3,HGNC:386,Humans,DB00157; DB00328; DB01536; DB01698; DB02056; DB02266; DB03461; DB07700; DB09074
539,593,Retinol dehydrogenase 13,RDH13,22761451.0,AK075392,Q8NBN7,RDH13_HUMAN,,,RDH13,HGNC:19978,Humans,DB00162
